,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
55,ADAUSDT,ARKUSDT,0.01,-3.82,-3.37,7.64,24
162,AXSUSDT,DYDXUSDT,0.0,-5.3,-3.37,3.04,21
221,C98USDT,TOMIUSDT,0.0,-6.49,-3.37,1.58,20
809,ZENUSDT,CELOUSDT,0.02,-3.59,-3.37,23.11,20
171,BEAMUSDT,GODSUSDT,0.0,-6.01,-3.37,0.02,19
699,STPTUSDT,AERGOUSDT,0.03,-3.53,-3.37,0.37,18
643,PYTHUSDT,ROSEUSDT,0.0,-4.68,-3.37,0.91,18
711,THETAUSDT,AERGOUSDT,0.04,-3.44,-3.37,42.47,17
149,AVAXUSDT,ASTRUSDT,0.01,-3.88,-3.37,232.39,16
562,KNCUSDT,EDUUSDT,0.02,-3.64,-3.37,1.32,15
88,ALICEUSDT,TWTUSDT,0.01,-4.0,-3.37,5.52,15
735,WAVESUSDT,DYDXUSDT,0.04,-3.44,-3.37,0.62,15
802,ZECUSDT,CTSIUSDT,0.04,-3.42,-3.37,600.27,15
412,FILUSDT,MATICUSDT,0.0,-4.87,-3.37,37.4,14
163,AXSUSDT,GMXUSDT,0.02,-3.71,-3.37,1.8,14
354,DOTUSDT,OCEANUSDT,0.04,-3.47,-3.37,77.35,14
796,YFIIUSDT,ARBUSDT,0.03,-3.52,-3.37,351.37,14
493,GRTUSDT,CELRUSDT,0.0,-4.93,-3.37,4.92,14
471,GFTUSDT,OPUSDT,0.01,-3.78,-3.37,0.09,13
172,BEAMUSDT,XLMUSDT,0.02,-3.69,-3.37,0.02,13
603,NMRUSDT,ARKMUSDT,0.04,-3.4,-3.37,27.65,13
10,1INCHUSDT,AGLDUSDT,0.01,-4.05,-3.37,2.54,13
787,XNOUSDT,BATUSDT,0.0,-4.58,-3.37,2.06,13
518,IDUSDT,GMXUSDT,0.02,-3.76,-3.37,0.01,13
662,RNDRUSDT,LOOKSUSDT,0.0,-4.53,-3.37,1.16,13
583,MDTUSDT,CROUSDT,0.01,-3.95,-3.37,0.07,12
150,AVAXUSDT,BAKEUSDT,0.02,-3.6,-3.37,52.32,12
265,CHZUSDT,HFTUSDT,0.01,-4.06,-3.37,0.45,12
