,ARKMUSDT,BTCUSDT,Spread,ZScore
0,0.4511,5902.71,0.4511,
1,0.45333,5941.32,0.45333,
2,0.45344,5988.98,0.45344,
3,0.45456,6008.41,0.45456,
4,0.45462,6035.22,0.45462,
5,0.45528,6180.6,0.45528,
6,0.45544,6186.39,0.45544,
7,0.45576,6194.18,0.45576,
8,0.45586,6202.82,0.45586,
9,0.45668,6204.91,0.45668,
10,0.45731,6206.86,0.45731,
11,0.45748,6216.27,0.45748,
12,0.4576,6219.18,0.4576,
13,0.45771,6230.08,0.45771,
14,0.45781,6242.93,0.45781,
15,0.45783,6247.36,0.45783,
16,0.45809,6250.43,0.45809,
17,0.45993,6271.48,0.45993,
18,0.46002,6276.35,0.46002,
19,0.46003,6290.0,0.46003,
20,0.46016,6292.62,0.46016,1.430199717476906
21,0.46038,6295.92,0.46038,1.47810895715374
22,0.46106,6298.6,0.46106,1.6319982525573646
23,0.46118,6300.03,0.46118,1.5637153161358373
24,0.46119,6302.35,0.46119,1.4339481743459848
25,0.46132,6302.5,0.46132,1.381488476762578
26,0.46248,6305.04,0.46248,1.7458118167742724
27,0.46251,6305.94,0.46251,1.6016808286938524
28,0.46261,6308.61,0.46261,1.5100910994393653
29,0.46348,6318.47,0.46348,1.7552139090853078
30,0.46382,6325.18,0.46382,1.7225161861878642
31,0.46417,6330.33,0.46417,1.6840737861464532
32,0.46432,6336.09,0.46432,1.5780270204281608
33,0.46445,6342.63,0.46445,1.486993509714662
34,0.46527,6344.15,0.46527,1.6772183582779054
35,0.46558,6350.77,0.46558,1.6527782419165205
36,0.4661,6352.52,0.4661,1.7284117767662839
37,0.4674,6355.23,0.4674,2.07200939630168
38,0.4679,6364.05,0.4679,1.977272047792015
39,0.46801,6366.44,0.46801,1.7812941652026648
40,0.46812,6367.64,0.46812,1.6334108444207085
41,0.46997,6376.9,0.46997,2.0303675889022847
42,0.4703,6390.18,0.4703,1.8887924261993034
43,0.47042,6394.45,0.47042,1.71147656449312
44,0.47043,6399.03,0.47043,1.5436620823559757
45,0.47107,6410.73,0.47107,1.5834690284856685
46,0.47127,6415.89,0.47127,1.5042472729345617
47,0.4716,6419.17,0.4716,1.4582395698753652
48,0.4716,6426.88,0.4716,1.334144834249809
49,0.47315,6431.2,0.47315,1.666413395427581
50,0.47672,6431.51,0.47672,2.3478846417943697
51,0.47732,6439.81,0.47732,2.1475526974969963
52,0.47759,6440.27,0.47759,1.9344750648939582
53,0.48261,6440.56,0.48261,2.5562205792573787
54,0.48667,6442.51,0.48667,2.6715191891237615
55,0.48729,6444.13,0.48729,2.2938064375293368
56,0.48811,6447.24,0.48811,2.06158724960919
57,0.48867,6451.21,0.48867,1.8623907094929188
58,0.49022,6452.31,0.49022,1.8059874307258668
59,0.4911,6452.74,0.4911,1.6890366855344192
60,0.4918,6453.51,0.4918,1.5789424206642027
61,0.4927,6461.19,0.4927,1.5104788983104465
62,0.49299,6461.96,0.49299,1.3890510003178054
63,0.49304,6462.01,0.49304,1.2640949394157084
64,0.49389,6463.79,0.49389,1.2366422586786634
65,0.49421,6467.3,0.49421,1.164845475818598
66,0.49444,6469.04,0.49444,1.0942865276222262
67,0.49464,6493.89,0.49464,1.0330272141553314
68,0.49481,6514.44,0.49481,0.9812192094308537
69,0.49521,6520.47,0.49521,0.979357369735276
